LogId,StartTime,Duration,Efficiency,IsMainSleep,SleepDataType,MinutesAfterWakeUp,MinutesAsleep,MinutesToFallAsleep,TimeInBed,ClassicAsleepCount,ClassicAsleepDuration,ClassicAwakeCount,ClassicAwakeDuration,ClassicRestlessCount,ClassicRestlessDuration,StagesWakeCount,StagesWakeDuration,StagesWakeThirtyDayAvg,StagesLightCount,StagesLightDuration,StagesLightThirtyDayAvg,StagesDeepCount,StagesDeepDuration,StagesDeepThirtyDayAvg,StagesREMCount,StagesREMDuration,StagesREMThirtyDayAvg,SleepLogType
37299019776,6/9/2022 5:34:00 PM,16140000,98,True,classic,0,264,0,269,0,264,1,2,3,3,,,,,,,,,,,,,
37308593170,6/16/2022 1:56:30 PM,6480000,98,True,classic,0,106,0,108,0,106,1,2,0,0,,,,,,,,,,,,,
37851503594,7/29/2022 5:57:30 PM,3720000,89,True,classic,0,55,0,62,0,55,1,3,2,4,,,,,,,,,,,,,
37851503595,7/30/2022 12:58:30 AM,6120000,86,False,classic,0,88,0,102,0,88,0,0,2,14,,,,,,,,,,,,,
37851503596,7/30/2022 3:42:30 AM,7740000,96,True,classic,0,124,0,129,0,124,1,4,1,1,,,,,,,,,,,,,
37851503597,7/31/2022 2:55:30 PM,7440000,94,True,classic,0,116,0,124,0,116,1,1,3,7,,,,,,,,,,,,,
37851503598,8/1/2022 1:01:00 AM,12720000,92,True,stages,0,189,0,212,,,,,,,5,23,0,8,121,0,1,37,0,3,31,0,
37854550769,8/1/2022 2:25:30 PM,5940000,97,False,classic,0,96,0,99,0,96,0,0,2,3,,,,,,,,,,,,,
37855003335,8/1/2022 6:32:00 PM,5400000,92,False,classic,0,83,0,90,0,83,1,1,1,6,,,,,,,,,,,,,
37857454192,8/2/2022 12:47:00 AM,17640000,89,True,stages,0,253,0,294,,,,,,,10,41,23,15,157,121,2,56,37,5,40,31,
37881292403,8/3/2022 11:46:30 PM,17040000,89,True,stages,0,254,0,284,,,,,,,8,30,32,10,186,139,1,42,47,1,26,36,
37900326818,8/5/2022 11:03:00 PM,4740000,91,False,classic,4,68,0,79,0,68,1,3,4,8,,,,,,,,,,,,,
37904920829,8/6/2022 4:26:30 AM,3660000,98,False,classic,1,59,0,61,0,59,0,0,2,2,,,,,,,,,,,,,
37909409559,8/6/2022 3:28:00 PM,6300000,90,True,classic,0,95,0,105,0,95,1,2,2,8,,,,,,,,,,,,,
37913848095,8/6/2022 11:30:00 PM,27180000,89,True,stages,0,410,0,453,,,,,,,10,43,31,14,330,155,1,65,45,3,15,32,
37928812987,8/7/2022 8:35:30 PM,38100000,89,True,stages,0,561,0,635,,,,,,,10,74,34,16,420,199,2,41,50,5,100,28,
37942240227,8/9/2022 1:08:00 PM,3840000,88,True,classic,0,56,0,64,0,56,0,0,3,8,,,,,,,,,,,,,
37946025425,8/9/2022 11:15:30 PM,16980000,91,True,stages,0,243,0,283,,,,,,,7,40,42,11,214,243,1,20,48,2,9,42,
37964592859,8/10/2022 9:48:30 PM,29760000,95,True,stages,0,458,0,496,,,,,,,12,38,42,16,266,238,1,88,44,5,104,37,
37982468942,8/12/2022 9:52:00 PM,6720000,93,True,classic,0,104,0,112,0,104,1,3,3,5,,,,,,,,,,,,,
37984696870,8/13/2022 1:15:00 AM,18600000,96,True,stages,0,275,0,310,,,,,,,12,35,41,14,139,242,3,93,50,5,43,46,
37993125694,8/13/2022 10:24:30 PM,3840000,94,False,classic,1,59,0,64,0,59,0,0,2,5,,,,,,,,,,,,,
38108968808,8/22/2022 10:01:00 PM,29580000,90,True,stages,0,457,0,493,,,,,,,14,36,41,18,235,229,1,132,55,4,90,46,
